caption,commentsCount,likesCount,ownerFullName,ownerUsername,type,url,videoDuration,videoPlayCount
"Nega o'quv kurslaringiz aynan online?

---
Youtube, Telegram va Facebook'da bizni @kadirovDev deb qidiring. Profildagi link orqali o'quv markazimiz saytiga kirishingiz mumkin 

#veb_dasturlash_kursi
#dasturlash #bootstrap #html #css #dasturlashni_organish_kursi #kadirovDev #uzbekistan #termiz #xiva #samarkand #andijan #tashkent #buxoro #toshkent #uz #ozbekiston #özbekistan #uzbvideo #php #css #html #video",108,17935,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/CgGqPPUM7Y5/,84.8,
Chat GPTdan mazzali taom retsepti))) Ohirigacha ko'ring) #chatgpt #dasturlash #suniyong #kadirovdev,51,190,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DBD1d2cOgZZ/,87.034,9373.0
"💥YILNING OXIRGI KURSIGA qabul davom etmoqda!

💻 JUNIOR FULL STACK WEB DEVELOPER NOYABR oyi kursiga oxirgi 3 ta joy qoldi.

👉 START: NOYABR
⚡️ KURS DAVOMIYLIGI: 5 OY

🔥Kursga oyma oy to’lash imkoniyati mavjud

💻 Biz bilan dasturlashni professional ustozlardan o’rganing va o’z ishingizning ustasi bo’ling!

➡️ Kursga yozilish sayt orqali

Qo’shimcha ma’lumot uchun:
📞 +998 90 130-50-20

O’quv kurslari bo’yicha admin:
👩‍💻@kadirovdevadmin

❗️YouTube | Telegram | Facebook - @kadirovDev

#kadirovDev #veb_dasturlash_kursi
#dasturlash #bootstrap #html #css #dasturlashni_organish_kursi #uzbekistan #termiz #xiva #samarkand #andijan #tashkent #buxoro #toshkent #uz #ozbekiston #özbekistan #uzbvideo #php #css #html #video #chatgpt #ai #suniyong #java #software",3,32,Kadirov Dev,kadirovdev,Image,https://www.instagram.com/p/DBjZ8AqOywb/,,
Junior kursida o'qiyotganlar uchun yangilik,18,139,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DBjZBvhtOgA/,37.201,2466.0
Onlayn o'qish va frilans haqida Sevimli TV da #kadirovdev #dasturlash #dasturlashni_organish_kursi #veb_dasturlash_kursi #php #sevimli #sevimlitv,68,450,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DBVn0RJONKK/,310.228,9551.0
"🔥YILNING OXIRGI KURSIga qabul ochildi!

💻KURS: JUNIOR FULL STACK WEB DELVEOPER

🎓Kursda 0 dan boshlab professional dasturchi bo’lish uchun barcha kerakli bilimlar beriladi.

O’rgatiladigan texnologiyalar:
⚡️PHP
⚡️JavaScript
⚡️MySQL
⚡️Symfony
⚡️ApiPlatform
⚡️Vue.js
⚡️Linux terminal
⚡️Git
⚡️HTML
⚡️CSS
⚡️Bootstrap

❗️Shoshiling, joylar soni chegaralangan

Qo’shimcha ma’lumot uchun:
📞 +998 90 130-50-20

O’quv kurslari bo’yicha admin:
👩‍💻@kadirovdevadmin

❗️YouTube | Telegram | Facebook - @kadirovDev

#kadirovDev #veb_dasturlash_kursi
#dasturlash #bootstrap #html #css #dasturlashni_organish_kursi #uzbekistan #termiz #xiva #samarkand #andijan #tashkent #buxoro #toshkent #uz #ozbekiston #özbekistan #uzbvideo #php #css #html #video #chatgpt #ai #suniyong #java #software",26,193,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DA_Rg8cOyb5/,44.534,4151.0
"🔥Kursning narxi oyiga atigi 665 883 so’m!

❗️Oktabr oyi kursiga oxirgi 5 - ta joy qoldi

Qo’shimcha ma’lumot uchun:
📞 +998 90 130-50-20

O’quv kurslari bo’yicha admin:
👩‍💻@kadirovdevadmin

❗️YouTube | Telegram | Facebook - @kadirovDev

#kadirovDev #veb_dasturlash_kursi
#dasturlash #bootstrap #html #css #dasturlashni_organish_kursi #uzbekistan #termiz #xiva #samarkand #andijan #tashkent #buxoro #toshkent #uz #ozbekiston #özbekistan #uzbvideo #php #css #html #video #chatgpt #ai #suniyong #java #software",39,354,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DAtQI4DOK0S/,45.134,8281.0
"💥Kurslarga qabul davom etmoqda!

💻 JUNIOR FULL STACK WEB DEVELOPMENT

👉 START: OKTABR
⚡️ KURS DAVOMIYLIGI: 5 OY

🔥Kursga oyma oy to’lash imkoniyati mavjud

💻 Biz bilan dasturlashni professional ustozlardan o’rganing va o’z ishingizning ustasi bo’ling!

❗️❕OXIRGI 6 - TA JOY QOLDI

➡️ Kursga yozilish sayt orqali

Qo’shimcha ma’lumot uchun:
📞 +998 90 130-50-20

O’quv kurslari bo’yicha admin:
👩‍💻@kadirovdevadmin

❗️YouTube | Telegram | Facebook - @kadirovDev

#kadirovDev #veb_dasturlash_kursi
#dasturlash #bootstrap #html #css #dasturlashni_organish_kursi #uzbekistan #termiz #xiva #samarkand #andijan #tashkent #buxoro #toshkent #uz #ozbekiston #özbekistan #uzbvideo #php #css #html #video #chatgpt #ai #suniyong #java #software",5,62,Kadirov Dev,kadirovdev,Image,https://www.instagram.com/p/DAoH1OIOZbx/,,
Nazarbayev Universitetiga tashrifimiz videosini Youtube kanalimizga joyladik. Profildagi link orqali ushbu videoni tomosha qiling,8,136,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DAn0IGstmG0/,29.433,3090.0
Nazarbayev Universitetiga tashrifimiz videosini Youtube kanalimizga joyladik. Profildagi link orqali ushbu videoni tomosha qiling,7,150,Kadirov Dev,kadirovdev,Video,https://www.instagram.com/p/DAk_YKvOKUu/,46.124,6919.0
